Game Completed Date,User ID,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region,Game Code
2020-12-29 20:20:08,2,Imposter,Loss,,,,1.0,290,Yes,,,,NA , HUYDCF
2020-12-29 20:14:05,2,Crewmate,Win,8.0,Yes,No,,757,No,2.0,10m 41s,++,NA , HUYDCF
2020-12-29 19:58:07,2,Crewmate,Win,7.0,Yes,No,,774,No,2.0,06m 01s,++,NA , NJCRNF
2020-12-29 19:43:42,2,Imposter,Win,,,,1.0,488,No,,,+++,NA , NJCRNF
2020-12-29 19:34:20,2,Crewmate,Loss,4.0,No,No,,570,No,3.0,,---,NA , NJCRNF
2020-12-28 01:35:57,2,Imposter,Win,,,,2.0,718,No,,,+++,NA , TWGUMF
2020-12-28 01:16:44,2,Crewmate,Win,7.0,Yes,No,,1450,No,1.0,05m 32s,++,NA , TWGUMF
2020-12-28 00:45:43,2,Imposter,Loss,,,,1.0,920,Yes,,,--,NA , TWGUMF
2020-12-28 00:27:19,2,Crewmate,Win,2.0,No,Yes,,340,No,0.0,,++,NA , YWLCGF
2020-12-28 00:14:02,2,Crewmate,Win,4.0,No,No,,427,No,0.0,,++,NA , LHNSFF
2020-12-28 00:00:11,2,Crewmate,Win,4.0,No,Yes,,300,No,0.0,,++,NA , LHNSFF
2020-12-27 23:49:19,2,Crewmate,Win,7.0,Yes,Yes,,1471,No,1.0,16m 01s,++,NA , LHNSFF
2020-12-26 03:11:39,2,Crewmate,Win,7.0,Yes,Yes,,987,No,2.0,15m 20s,++,NA , KTSMSF
2020-12-26 02:53:51,2,Crewmate,Win,6.0,No,No,,420,No,0.0,,++,NA , KTSMSF
2020-12-26 02:45:00,2,Crewmate,Loss,7.0,Yes,Yes,,866,No,0.0,06m 15s,--,NA , KTSMSF
2020-11-29 22:42:07,2,Crewmate,Win,8.0,Yes,Yes,,735,No,0.0,07m 23s,++,NA , LLNYBF
2020-11-29 22:17:28,2,Crewmate,Win,8.0,Yes,Yes,,808,No,0.0,10m 41s,++,NA , MSVQUF
2020-11-29 21:58:54,2,Imposter,Win,,,,2.0,470,No,,,+++,NA , MSVQUF
2020-11-29 21:50:15,2,Crewmate,Loss,8.0,Yes,Yes,,721,No,0.0,08m 36s,--,NA , MSVQUF
2020-11-29 21:36:53,2,Crewmate,Loss,7.0,No,No,,369,No,0.0,,---,NA , MSVQUF
2020-11-29 21:24:19,2,Crewmate,Loss,6.0,No,Yes,,636,No,0.0,,---,NA , MSVQUF
2020-11-29 21:11:11,2,Imposter,Win,,,,1.0,974,No,,,+++,NA , MSVQUF
2020-11-29 20:50:39,2,Crewmate,Win,8.0,Yes,No,,1049,No,0.0,16m 22s,++,NA , MSVQUF
2020-11-29 20:27:21,2,Crewmate,Win,8.0,Yes,Yes,,812,No,2.0,10m 28s,++,NA , MSVQUF
2020-11-29 20:12:06,2,Crewmate,Loss,8.0,Yes,No,,1081,No,0.0,13m 36s,--,NA , MSVQUF
2020-11-29 19:51:54,2,Crewmate,Loss,8.0,Yes,Yes,,629,No,2.0,09m 15s,--,NA , MSVQUF
2020-11-29 19:39:03,2,Crewmate,Win,8.0,Yes,No,,568,No,0.0,07m 43s,++,NA , MSVQUF
2020-11-29 19:28:50,2,Crewmate,Win,4.0,No,No,,353,No,0.0,,++,NA , MSVQUF
